label,heading,sentence,clusters,probabilities
3,Wall St. Bears Claw Back Into the Black (Reuters),"Reuters - Short-sellers, Wall Street's dwindling\band of ultra-cynics, are seeing green again.",1,"[0.13547681272029877, 0.5442196130752563, 0.17002342641353607, 0.15028011798858643]"
3,Carlyle Looks Toward Commercial Aerospace (Reuters),"Reuters - Private investment firm Carlyle Group,\which has a reputation for making well-timed and occasionally\controversial plays in the defense industry, has quietly placed\its bets on another part of the market.",1,"[0.09995962679386139, 0.6389427185058594, 0.16895590722560883, 0.0921417772769928]"
3,Oil and Economy Cloud Stocks' Outlook (Reuters),Reuters - Soaring crude prices plus worries\about the economy and the outlook for earnings are expected to\hang over the stock market next week during the depth of the\summer doldrums.,2,"[0.18097637593746185, 0.1830224096775055, 0.4892082214355469, 0.14679305255413055]"
3,Iraq Halts Oil Exports from Main Southern Pipeline (Reuters),"Reuters - Authorities have halted oil export\flows from the main pipeline in southern Iraq after\intelligence showed a rebel militia could strike\infrastructure, an oil official said on Saturday.",1,"[0.29267871379852295, 0.3466857373714447, 0.2534821331501007, 0.10715334862470627]"
3,"Oil prices soar to all-time record, posing new menace to US economy (AFP)","AFP - Tearaway world oil prices, toppling records and straining wallets, present a new economic menace barely three months before the US presidential elections.",1,"[0.2701810598373413, 0.33588075637817383, 0.22837574779987335, 0.16556237637996674]"
4,"'Madden,' 'ESPN' Football Score in Different Ways (Reuters)","Reuters - Was absenteeism a little high\on Tuesday among the guys at the office? EA Sports would like\to think it was because ""Madden NFL 2005"" came out that day,\and some fans of the football simulation are rabid enough to\take a sick day to play it.",0,"[0.30072683095932007, 0.1766357272863388, 0.28237566351890564, 0.24026177823543549]"
4,Group to Propose New High-Speed Wireless Format (Reuters),"Reuters - A group of technology companies\including Texas Instruments Inc. (TXN.N), STMicroelectronics\(STM.PA) and Broadcom Corp. (BRCM.O), on Thursday said they\will propose a new wireless networking standard up to 10 times\the speed of the current generation.",1,"[0.2444552630186081, 0.3550007939338684, 0.1824970245361328, 0.2180468589067459]"
4,AOL to Sell Cheap PCs to Minorities and Seniors (Reuters),Reuters - America Online on Thursday said it\plans to sell a low-priced PC targeting low-income and minority\households who agree to sign up for a year of dialup Internet\service.,1,"[0.2914772033691406, 0.3161085844039917, 0.2489292025566101, 0.1434849351644516]"
4,Companies Approve New High-Capacity Disc Format (Reuters),"Reuters - A group of consumer electronics\makers said on Wednesday they approved the format for a new\generation of discs that can store five times the data of DVDs\at the same cost -- enough to put a full season of ""The\Sopranos"" on one disc.",3,"[0.1490391492843628, 0.2664371728897095, 0.24558675289154053, 0.3389369547367096]"
4,Missing June Deals Slow to Return for Software Cos. (Reuters),Reuters - The mystery of what went wrong for the\software industry in late June when sales stalled at more than\20 brand-name companies is not even close to being solved\although the third quarter is nearly halfway over.,1,"[0.1478460729122162, 0.441486120223999, 0.1407397985458374, 0.269927978515625]"
2,"Phelps, Thorpe Advance in 200 Freestyle (AP)","AP - Michael Phelps took care of qualifying for the Olympic 200-meter freestyle semifinals Sunday, and then found out he had been added to the American team for the evening's 400 freestyle relay final. Phelps' rivals Ian Thorpe and Pieter van den Hoogenband and teammate Klete Keller were faster than the teenager in the 200 free preliminaries.",0,"[0.40859153866767883, 0.1492687612771988, 0.2848607003688812, 0.15727896988391876]"
2,Reds Knock Padres Out of Wild-Card Lead (AP),"AP - Wily Mo Pena homered twice and drove in four runs, helping the Cincinnati Reds beat the San Diego Padres 11-5 on Saturday night. San Diego was knocked out of a share of the NL wild-card lead with the loss and Chicago's victory over Los Angeles earlier in the day.",1,"[0.26889029145240784, 0.4322783946990967, 0.11105731129646301, 0.18777404725551605]"
2,"Dreaming done, NBA stars awaken to harsh Olympic reality (AFP)","AFP - National Basketball Association players trying to win a fourth consecutive Olympic gold medal for the United States have gotten the wake-up call that the ""Dream Team"" days are done even if supporters have not.",3,"[0.24316638708114624, 0.14908301830291748, 0.25806817412376404, 0.34968239068984985]"
2,"Indians Beat Twins 7-1, Nearing AL Lead (AP)","AP - The Cleveland Indians pulled within one game of the AL Central lead, scoring four runs in the first inning and beating the Minnesota Twins 7-1 Saturday night behind home runs by Travis Hafner and Victor Martinez.",1,"[0.3501758575439453, 0.38945117592811584, 0.09177514910697937, 0.1685977280139923]"
2,"Galaxy, Crew Play to 0-0 Tie (AP)","AP - Kevin Hartman made seven saves for Los Angeles, and Jon Busch had two saves for Columbus as the Galaxy and Crew played to a 0-0 tie Saturday night.",0,"[0.3316604495048523, 0.2606590688228607, 0.12423822283744812, 0.28344228863716125]"
1,Venezuelans Vote Early in Referendum on Chavez Rule (Reuters),Reuters - Venezuelans turned out early\and in large numbers on Sunday to vote in a historic referendum\that will either remove left-wing President Hugo Chavez from\office or give him a new mandate to govern for the next two\years.,0,"[0.3712936043739319, 0.15246222913265228, 0.36990687251091003, 0.10633725672960281]"
1,S.Koreans Clash with Police on Iraq Troop Dispatch (Reuters),"Reuters - South Korean police used water cannon in\central Seoul Sunday to disperse at least 7,000 protesters\urging the government to reverse a controversial decision to\send more troops to Iraq.",0,"[0.3906889855861664, 0.14708776772022247, 0.3109334409236908, 0.15128979086875916]"
1,Palestinians in Israeli Jails Start Hunger Strike (Reuters),"Reuters - Thousands of Palestinian\prisoners in Israeli jails began a hunger strike for better\conditions Sunday, but Israel's security minister said he\didn't care if they starved to death.",0,"[0.465643972158432, 0.08205979317426682, 0.3477305769920349, 0.1045655906200409]"
1,Seven Georgian soldiers wounded as South Ossetia ceasefire violated (AFP),"AFP - Sporadic gunfire and shelling took place overnight in the disputed Georgian region of South Ossetia in violation of a fragile ceasefire, wounding seven Georgian servicemen.",1,"[0.21011582016944885, 0.44265928864479065, 0.12632688879966736, 0.22089797258377075]"
1,Rwandan Troops Arrive in Darfur (AP),"AP - Dozens of Rwandan soldiers flew into Sudan's troubled Darfur region Sunday, the first foreign armed force deployed in the area since Arab militiamen began a rampage against black African farmers, killing thousands.",0,"[0.6213317513465881, 0.12353938072919846, 0.14437969028949738, 0.11074919998645782]"
